"MSB I.4 Commercial Banks: Deposits (excluding S$NCDs) of DBUs by Types of Non-bank Customers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S$ MILLION"
"END OF PERIOD","TOTAL DEPOSITS - TOTAL","TOTAL DEPOSITS - IN S$","TOTAL DEPOSITS - IN FOREIGN CURRENCIES","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - TOTAL","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - DEMAND DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - FIXED DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - SAVINGS AND OTHER DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - TOTAL","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - DEMAND DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - FIXED DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - TOTAL","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - DEMAND DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - FIXED DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - TOTAL","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - DEMAND DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - FIXED DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS"
2005 Mar,210769.5,208867.0,1902.5,14085.9,3485.7,10491.4,108.9,0.0,0.0,0.0,19737.0,4740.4,14939.4,57.2,0.0,0.0,0.0,164762.2,24189.6,71656.7,68915.8,0.0,0.0,0.0,12184.4,1630.5,5990.3,4563.6,0.0,0.0,0.0
2005 Apr,211314.9,209479.2,1835.7,13803.7,2772.9,10912.3,118.5,0.0,0.0,0.0,19670.8,4723.6,14862.1,85.2,0.0,0.0,0.0,165369.9,24298.6,72759.1,68312.2,0.0,0.0,0.0,12470.5,1681.8,6268.3,4520.4,0.0,0.0,0.0
2005 May,213496.3,211767.3,1729.1,14317.2,2018.6,12179.2,119.4,0.0,0.0,0.0,20521.3,5093.2,15382.7,45.3,0.0,0.0,0.0,164735.7,24612.8,72469.7,67653.2,0.0,0.0,0.0,13922.2,1756.2,7606.5,4559.4,0.0,0.0,0.0
2005 Jun,215121.4,212472.3,2649.1,13780.0,2896.8,10781.7,101.5,0.0,0.0,0.0,20477.3,5004.1,15408.7,64.5,0.0,0.0,0.0,166903.8,24516.3,75039.5,67348.0,0.0,0.0,0.0,13960.3,1911.1,7519.6,4529.6,0.0,0.0,0.0
2005 Jul,217097.4,215331.5,1765.9,13966.9,2669.2,11184.7,112.9,0.0,0.0,0.0,19426.0,4758.2,14636.5,31.2,0.0,0.0,0.0,169224.4,24728.4,76794.4,67701.6,0.0,0.0,0.0,14480.1,1842.3,8098.9,4538.9,0.0,0.0,0.0
2005 Aug,218217.0,216550.7,1666.3,14336.2,2291.7,11922.7,121.9,0.0,0.0,0.0,21416.7,4878.5,16501.1,37.0,0.0,0.0,0.0,167418.4,24121.9,75795.5,67501.0,0.0,0.0,0.0,15045.7,1853.3,8630.0,4562.3,0.0,0.0,0.0
2005 Sep,219753.8,218141.4,1612.4,14147.8,2372.9,11662.2,112.6,0.0,0.0,0.0,20188.6,5107.0,15047.9,33.8,0.0,0.0,0.0,170417.0,24734.5,78600.0,67082.5,0.0,0.0,0.0,15000.4,1848.7,8586.5,4565.1,0.0,0.0,0.0
2005 Oct,222365.3,220683.3,1682.0,14666.5,2025.9,12527.3,113.3,0.0,0.0,0.0,19884.6,5063.1,14594.5,226.9,0.0,0.0,0.0,172240.9,25229.3,81385.0,65626.7,0.0,0.0,0.0,15573.3,1891.6,9172.1,4509.6,0.0,0.0,0.0
2005 Nov,223261.9,221296.5,1965.4,15678.1,2506.5,13063.6,108.0,0.0,0.0,0.0,19144.2,4957.0,14159.4,27.7,0.0,0.0,0.0,172580.4,25493.9,82071.0,65015.5,0.0,0.0,0.0,15859.2,1737.3,9659.3,4462.6,0.0,0.0,0.0
2005 Dec,223718.0,221715.8,2002.2,14580.8,3807.6,10671.8,101.4,0.0,0.0,0.0,17753.2,4745.9,12964.5,42.8,0.0,0.0,0.0,175550.4,24774.7,85257.7,65518.0,0.0,0.0,0.0,15833.5,1811.9,9602.3,4419.3,0.0,0.0,0.0
2006 Jan,221638.2,219091.0,2547.2,12812.1,2609.4,10086.9,115.8,0.0,0.0,0.0,16984.0,4879.6,12076.6,27.8,0.0,0.0,0.0,175181.0,24400.4,85883.2,64897.4,0.0,0.0,0.0,16661.1,2070.4,10226.6,4364.1,0.0,0.0,0.0
2006 Feb,227653.4,225065.1,2588.3,14491.2,2720.6,11628.0,142.6,0.0,0.0,0.0,20754.0,5464.7,15258.7,30.6,0.0,0.0,0.0,175872.4,24622.0,86180.4,65070.0,0.0,0.0,0.0,16535.9,1845.3,10311.1,4379.4,0.0,0.0,0.0
2006 Mar,231428.4,229415.6,2012.8,14630.0,3223.7,11298.9,107.3,0.0,0.0,0.0,20505.6,6365.3,14114.5,25.7,0.0,0.0,0.0,179606.6,24936.9,89110.8,65559.0,0.0,0.0,0.0,16686.2,2092.7,10229.7,4363.8,0.0,0.0,0.0
2006 Apr,235474.8,233381.8,2093.0,14392.6,2924.3,11332.8,135.5,0.0,0.0,0.0,20098.2,5876.3,14202.9,19.1,0.0,0.0,0.0,183365.0,25798.0,90814.0,66753.1,0.0,0.0,0.0,17619.0,1982.6,11269.3,4367.1,0.0,0.0,0.0
2006 May,243490.4,241545.8,1944.6,14905.1,2763.9,12008.7,132.5,0.0,0.0,0.0,23944.1,6418.5,17465.4,60.2,0.0,0.0,0.0,185501.7,25995.4,93908.3,65598.0,0.0,0.0,0.0,19139.4,2243.9,12466.3,4429.2,0.0,0.0,0.0
2006 Jun,242999.9,241309.3,1690.6,14785.7,3020.9,11672.8,92.0,0.0,0.0,0.0,23398.7,5694.1,17688.8,15.9,0.0,0.0,0.0,186614.0,26046.4,95414.2,65153.4,0.0,0.0,0.0,18201.4,2098.4,11854.7,4248.3,0.0,0.0,0.0
2006 Jul,244937.6,243147.4,1790.1,14937.1,3063.0,11783.1,91.0,0.0,0.0,0.0,23292.1,5901.8,17325.3,65.0,0.0,0.0,0.0,187771.1,26094.4,97600.3,64076.3,0.0,0.0,0.0,18937.3,2126.7,12633.5,4177.1,0.0,0.0,0.0
2006 Aug,251723.8,249924.4,1799.4,15824.4,3140.1,12550.3,133.9,0.0,0.0,0.0,26934.6,6951.7,19901.2,81.7,0.0,0.0,0.0,188482.8,26469.4,98385.1,63628.4,0.0,0.0,0.0,20482.0,2346.7,13956.6,4178.7,0.0,0.0,0.0
2006 Sep,253082.4,251237.8,1844.5,15201.4,2205.4,12856.6,139.4,0.0,0.0,0.0,27280.1,5751.9,21503.8,24.3,0.0,0.0,0.0,190707.6,26810.1,100002.1,63895.5,0.0,0.0,0.0,19893.3,2448.4,13232.1,4212.8,0.0,0.0,0.0
2006 Oct,258211.8,256268.5,1943.3,16614.8,2375.5,14126.1,113.3,0.0,0.0,0.0,27581.1,5815.8,21745.6,19.6,0.0,0.0,0.0,193574.7,27633.0,101757.4,64184.3,0.0,0.0,0.0,20441.2,2514.5,13707.1,4219.6,0.0,0.0,0.0
2006 Nov,264531.9,262344.4,2187.5,18214.0,2374.6,15712.1,127.3,0.0,0.0,0.0,27459.1,6198.2,21248.0,13.0,0.0,0.0,0.0,196813.4,27782.0,103691.6,65339.7,0.0,0.0,0.0,22045.4,2754.7,15001.3,4289.4,0.0,0.0,0.0
2006 Dec,272462.6,270367.1,2095.5,21104.2,3700.2,17260.0,144.0,0.0,0.0,0.0,27799.4,5972.4,21813.6,13.4,0.0,0.0,0.0,201083.3,28954.9,103888.3,68240.1,0.0,0.0,0.0,22475.7,2845.7,15206.4,4423.6,0.0,0.0,0.0
2007 Jan,276181.6,274111.6,2070.0,19115.9,2802.4,16171.0,142.5,0.0,0.0,0.0,29255.5,7657.6,21582.9,15.0,0.0,0.0,0.0,204855.4,29437.1,106003.8,69414.4,0.0,0.0,0.0,22954.8,2841.8,15598.1,4514.9,0.0,0.0,0.0
2007 Feb,283862.4,281417.7,2444.7,20001.7,2996.6,16893.3,111.7,0.0,0.0,0.0,30080.9,7362.9,22687.7,30.3,0.0,0.0,0.0,209798.7,29945.2,108675.3,71178.2,0.0,0.0,0.0,23981.1,2777.6,16610.6,4592.8,0.0,0.0,0.0
2007 Mar,290925.0,288284.8,2640.3,20980.1,2479.5,18378.3,122.4,0.0,0.0,0.0,32294.0,7802.1,24479.3,12.6,0.0,0.0,0.0,213986.0,29944.5,112101.6,71939.9,0.0,0.0,0.0,23664.9,2922.9,16104.8,4637.2,0.0,0.0,0.0
2007 Apr,297387.9,295134.0,2253.9,20122.4,2739.9,17244.5,138.0,0.0,0.0,0.0,31705.0,7128.0,24561.4,15.5,0.0,0.0,0.0,220068.7,30982.1,114776.6,74310.1,0.0,0.0,0.0,25491.8,3005.1,17669.6,4817.0,0.0,0.0,0.0
2007 May,303541.6,300952.4,2589.2,18653.7,2972.6,15546.9,134.2,0.0,0.0,0.0,32568.9,7944.7,24609.4,14.8,0.0,0.0,0.0,224807.7,32210.5,115384.9,77212.3,0.0,0.0,0.0,27511.2,3435.1,19009.4,5066.7,0.0,0.0,0.0
2007 Jun,306135.8,303537.8,2598.0,18166.6,2994.1,15031.3,141.3,0.0,0.0,0.0,33954.8,7857.7,26077.7,19.5,0.0,0.0,0.0,228043.7,33697.1,114758.1,79588.6,0.0,0.0,0.0,25970.7,3261.4,17493.0,5216.2,0.0,0.0,0.0
2007 Jul,305166.6,302864.7,2301.9,17720.5,2710.2,14864.6,145.7,0.0,0.0,0.0,30467.7,8250.1,22178.1,39.5,0.0,0.0,0.0,230837.1,34010.1,116412.2,80414.8,0.0,0.0,0.0,26141.3,3684.2,17223.4,5233.7,0.0,0.0,0.0
2007 Aug,306828.8,303391.4,3437.4,19637.1,2702.9,16800.6,133.7,0.0,0.0,0.0,32199.4,9035.5,23143.4,20.5,0.0,0.0,0.0,227134.7,34477.3,113149.9,79507.5,0.0,0.0,0.0,27857.7,3750.3,18851.5,5255.9,0.0,0.0,0.0
2007 Sep,308741.5,306319.6,2421.9,20241.1,2884.7,17202.9,153.6,0.0,0.0,0.0,31230.0,8613.0,22486.7,130.3,0.0,0.0,0.0,229341.0,34512.6,114955.4,79872.9,0.0,0.0,0.0,27929.4,3963.2,18565.1,5401.2,0.0,0.0,0.0
2007 Oct,311910.6,309653.9,2256.7,20572.8,2811.7,17610.6,150.6,0.0,0.0,0.0,29992.5,8564.6,21413.5,14.4,0.0,0.0,0.0,231595.2,36575.4,115449.9,79569.9,0.0,0.0,0.0,29750.1,3964.4,20365.5,5420.2,0.0,0.0,0.0
2007 Nov,314674.4,312496.8,2177.6,21312.4,3016.6,18129.8,166.1,0.0,0.0,0.0,32302.3,8726.7,23562.0,13.6,0.0,0.0,0.0,230191.1,36114.6,115253.8,78822.7,0.0,0.0,0.0,30868.6,3551.8,21934.4,5382.4,0.0,0.0,0.0
2007 Dec,314985.8,311621.6,3364.3,19099.2,2368.9,16592.5,137.8,0.0,0.0,0.0,29593.8,8315.8,21262.1,15.8,0.0,0.0,0.0,236295.6,37494.8,117046.2,81754.6,0.0,0.0,0.0,29997.2,3900.6,20520.3,5576.4,0.0,0.0,0.0
2008 Jan,315433.7,313058.3,2375.3,16285.8,3248.8,12917.4,119.6,0.0,0.0,0.0,30221.5,8676.0,21521.0,24.5,0.0,0.0,0.0,238077.5,39357.4,115923.3,82796.8,0.0,0.0,0.0,30848.9,4161.8,21069.3,5617.8,0.0,0.0,0.0
2008 Feb,323723.3,321148.8,2574.6,16531.3,2369.2,14033.0,129.0,0.0,0.0,0.0,31115.5,10102.1,20992.7,20.7,0.0,0.0,0.0,244134.9,40418.6,117628.3,86088.1,0.0,0.0,0.0,31941.7,4339.2,21740.7,5861.8,0.0,0.0,0.0
2008 Mar,330849.0,328140.8,2708.1,16512.2,3329.2,13031.2,151.8,0.0,0.0,0.0,36212.3,8771.0,27412.6,28.7,0.0,0.0,0.0,246659.6,41261.9,116579.3,88818.5,0.0,0.0,0.0,31464.8,4610.1,20932.0,5922.7,0.0,0.0,0.0
2008 Apr,336161.3,333525.2,2636.1,16761.0,2516.5,14091.0,153.5,0.0,0.0,0.0,36369.3,8531.2,27798.6,39.5,0.0,0.0,0.0,250623.5,44255.6,114494.4,91873.5,0.0,0.0,0.0,32407.5,5013.1,21305.6,6088.7,0.0,0.0,0.0
2008 May,334251.6,331492.5,2759.1,17029.9,1970.3,14882.7,176.8,0.0,0.0,0.0,33545.0,9152.4,24370.2,22.4,0.0,0.0,0.0,248942.2,43965.8,111941.0,93035.4,0.0,0.0,0.0,34734.6,5323.5,23189.3,6221.8,0.0,0.0,0.0
2008 Jun,333260.1,330522.6,2737.5,17917.5,3207.2,14436.0,274.4,0.0,0.0,0.0,33953.0,9301.5,24624.9,26.6,0.0,0.0,0.0,249503.4,44626.3,111569.9,93307.2,0.0,0.0,0.0,31886.1,5439.4,20050.6,6396.1,0.0,0.0,0.0
2008 Jul,337695.1,334111.6,3583.5,18876.1,2480.8,16148.2,247.1,0.0,0.0,0.0,36108.7,8872.2,27187.1,49.4,0.0,0.0,0.0,250772.8,45236.2,110515.3,95021.3,0.0,0.0,0.0,31937.5,4713.3,20726.8,6497.3,0.0,0.0,0.0
2008 Aug,335084.8,331950.2,3134.6,18793.5,2152.1,16394.0,247.4,0.0,0.0,0.0,37372.8,8624.0,28708.8,40.0,0.0,0.0,0.0,246127.8,45604.6,105442.2,95081.1,0.0,0.0,0.0,32790.7,4917.1,21242.5,6631.2,0.0,0.0,0.0
2008 Sep,341413.7,338377.1,3036.6,18157.7,2146.8,15847.0,163.9,0.0,0.0,0.0,38792.1,8160.6,30605.1,26.4,0.0,0.0,0.0,252049.3,47994.5,107350.9,96703.8,0.0,0.0,0.0,32414.6,5434.6,20394.5,6585.4,0.0,0.0,0.0
2008 Oct,346353.7,343483.3,2870.4,19882.1,2422.5,17161.4,298.3,0.0,0.0,0.0,44628.9,8934.4,35665.0,29.5,0.0,0.0,0.0,251079.2,46298.2,108321.1,96459.9,0.0,0.0,0.0,30763.5,5120.1,18895.4,6748.0,0.0,0.0,0.0
2008 Nov,345859.9,342783.8,3076.0,19396.3,1894.0,17155.3,347.0,0.0,0.0,0.0,42910.5,8307.5,34566.0,36.9,0.0,0.0,0.0,252877.7,46086.1,108602.1,98189.6,0.0,0.0,0.0,30675.4,4798.9,18965.9,6910.7,0.0,0.0,0.0
2008 Dec,347507.4,344409.5,3098.0,19031.9,2416.9,16256.2,358.8,0.0,0.0,0.0,41949.2,8459.7,33442.9,46.6,0.0,0.0,0.0,255513.4,46519.6,106768.8,102225.0,0.0,0.0,0.0,31013.0,4704.2,19178.9,7129.8,0.0,0.0,0.0
2009 Jan,351379.7,347999.2,3380.5,18700.5,2490.2,15779.2,431.1,0.0,0.0,0.0,45516.9,13542.0,31840.4,134.6,0.0,0.0,0.0,255687.9,47557.4,103903.7,104226.8,0.0,0.0,0.0,31474.3,5381.3,18734.7,7358.4,0.0,0.0,0.0
2009 Feb,354955.4,351374.6,3580.7,18724.0,2802.4,15514.9,406.7,0.0,0.0,0.0,45144.0,12868.7,32084.1,191.2,0.0,0.0,0.0,258949.6,47841.9,103447.6,107660.0,0.0,0.0,0.0,32137.8,5120.0,19537.4,7480.4,0.0,0.0,0.0
2009 Mar,364462.6,360729.4,3733.2,16897.4,2191.0,14318.1,388.2,0.0,0.0,0.0,50856.8,14826.7,35841.1,189.0,0.0,0.0,0.0,264351.4,49466.9,103959.5,110925.0,0.0,0.0,0.0,32357.0,4854.8,19521.3,7980.9,0.0,0.0,0.0
2009 Apr,362833.9,359183.7,3650.2,16968.5,2284.7,14280.5,403.3,0.0,0.0,0.0,45005.2,13030.2,31771.5,203.5,0.0,0.0,0.0,270159.6,50581.5,107687.6,111890.5,0.0,0.0,0.0,30700.6,4857.8,17806.1,8036.7,0.0,0.0,0.0
2009 May,364507.2,360631.2,3876.1,16965.1,2228.4,14363.7,373.0,0.0,0.0,0.0,46162.7,13601.7,32376.1,184.9,0.0,0.0,0.0,269818.6,50400.4,105544.7,113873.5,0.0,0.0,0.0,31560.8,4954.5,18263.6,8342.7,0.0,0.0,0.0
2009 Jun,372177.7,368878.4,3299.2,17819.0,3135.6,14241.6,441.8,0.0,0.0,0.0,45498.3,13593.4,31752.4,152.6,0.0,0.0,0.0,276336.2,51758.5,109921.1,114656.6,0.0,0.0,0.0,32524.1,4746.9,19250.9,8526.3,0.0,0.0,0.0
2009 Jul,375399.2,372020.8,3378.4,17428.6,3481.4,13327.1,620.2,0.0,0.0,0.0,44571.3,13153.1,31280.3,137.8,0.0,0.0,0.0,279844.2,53128.9,110289.0,116426.3,0.0,0.0,0.0,33555.1,4847.3,19964.5,8743.3,0.0,0.0,0.0
2009 Aug,373569.2,369890.7,3678.6,16870.2,2919.8,13330.8,619.6,0.0,0.0,0.0,45458.0,14038.8,31269.1,150.1,0.0,0.0,0.0,278483.9,53678.6,108519.8,116285.5,0.0,0.0,0.0,32757.1,5227.0,18597.7,8932.5,0.0,0.0,0.0
2009 Sep,377212.6,373489.5,3723.1,16430.5,3114.2,12753.3,563.1,0.0,0.0,0.0,46355.4,13669.4,32468.1,218.0,0.0,0.0,0.0,281635.2,55756.0,108481.4,117397.8,0.0,0.0,0.0,32791.4,5209.2,18306.7,9275.5,0.0,0.0,0.0
2009 Oct,379412.6,375868.4,3544.2,15505.5,2798.1,12177.6,529.8,0.0,0.0,0.0,45494.9,13475.8,31737.6,281.4,0.0,0.0,0.0,283741.0,56443.8,110308.0,116989.2,0.0,0.0,0.0,34671.2,5357.7,19990.3,9323.2,0.0,0.0,0.0
2009 Nov,384013.2,380786.1,3227.1,16171.6,4041.1,11625.1,505.4,0.0,0.0,0.0,46230.9,13524.7,32442.6,263.7,0.0,0.0,0.0,285960.9,57395.3,111705.6,116860.0,0.0,0.0,0.0,35649.7,5423.8,20819.6,9406.2,0.0,0.0,0.0
2009 Dec,391495.1,388115.9,3379.3,16308.3,3626.6,12206.1,475.6,0.0,0.0,0.0,46108.7,12447.3,33466.1,195.3,0.0,0.0,0.0,291898.8,58882.7,112605.2,120410.9,0.0,0.0,0.0,37179.4,6090.5,21294.3,9794.6,0.0,0.0,0.0
2010 Jan,393517.1,389993.6,3523.5,15267.0,2539.7,12256.6,470.7,0.0,0.0,0.0,46628.2,13345.9,33083.0,199.3,0.0,0.0,0.0,294558.9,59509.8,114314.1,120735.0,0.0,0.0,0.0,37063.0,5773.8,21384.5,9904.8,0.0,0.0,0.0
2010 Feb,392290.2,388589.9,3700.3,15186.1,2676.5,12024.9,484.7,0.0,0.0,0.0,45514.5,13075.3,32232.0,207.2,0.0,0.0,0.0,294617.2,60807.4,111950.7,121859.1,0.0,0.0,0.0,36972.3,5612.0,21360.2,10000.1,0.0,0.0,0.0
2010 Mar,401460.2,397700.4,3759.7,14954.5,2743.1,11784.0,427.4,0.0,0.0,0.0,45976.4,13182.7,32496.1,297.6,0.0,0.0,0.0,302458.8,61398.9,115658.1,125401.8,0.0,0.0,0.0,38070.5,5852.8,21915.1,10302.5,0.0,0.0,0.0
2010 Apr,403627.4,399812.1,3815.3,14029.0,3017.9,10795.8,215.4,0.0,0.0,0.0,44692.9,13846.0,30606.5,240.5,0.0,0.0,0.0,305593.4,62679.2,116394.2,126520.0,0.0,0.0,0.0,39312.1,6124.1,22839.4,10348.5,0.0,0.0,0.0
2010 May,404500.9,400589.6,3911.4,14197.8,3081.0,10912.9,203.8,0.0,0.0,0.0,48169.0,14742.0,33171.0,256.0,0.0,0.0,0.0,302722.6,63933.8,113651.6,125137.3,0.0,0.0,0.0,39411.5,7060.8,21922.5,10428.2,0.0,0.0,0.0
2010 Jun,404712.5,400831.3,3881.2,11532.8,3048.1,8312.3,172.4,0.0,0.0,0.0,49732.4,14664.4,34775.0,293.0,0.0,0.0,0.0,305063.2,65034.4,112903.3,127125.5,0.0,0.0,0.0,38384.0,6997.0,20771.9,10615.2,0.0,0.0,0.0
2010 Jul,408841.9,404876.7,3965.2,10970.7,3087.7,7698.1,184.9,0.0,0.0,0.0,51572.8,14405.3,36870.1,297.3,0.0,0.0,0.0,306944.8,65785.1,112745.3,128414.4,0.0,0.0,0.0,39353.7,6977.6,21692.7,10683.5,0.0,0.0,0.0
2010 Aug,412748.8,409043.1,3705.7,11665.9,3311.7,8186.8,167.5,0.0,0.0,0.0,52073.0,15393.9,36406.5,272.6,0.0,0.0,0.0,308704.2,66996.1,112322.4,129385.8,0.0,0.0,0.0,40305.7,7110.6,22494.2,10700.9,0.0,0.0,0.0
2010 Sep,418241.3,414281.7,3959.6,12606.2,3335.7,9106.0,164.5,0.0,0.0,0.0,51650.9,15186.1,36282.9,182.0,0.0,0.0,0.0,313748.4,68960.5,113682.4,131105.6,0.0,0.0,0.0,40235.7,8227.5,21013.0,10995.3,0.0,0.0,0.0
2010 Oct,427456.2,423488.3,3967.9,14309.4,3546.0,10573.8,189.6,0.0,0.0,0.0,53178.9,15171.8,37764.4,242.8,0.0,0.0,0.0,319733.3,70085.4,117577.1,132070.8,0.0,0.0,0.0,40234.6,7701.9,21284.1,11248.6,0.0,0.0,0.0
2010 Nov,432572.7,428638.7,3934.0,15358.5,3189.5,11973.9,195.1,0.0,0.0,0.0,53326.7,16528.7,36561.9,236.0,0.0,0.0,0.0,322524.3,72412.8,118092.7,132018.7,0.0,0.0,0.0,41363.3,8580.6,21428.1,11354.5,0.0,0.0,0.0
2010 Dec,433757.8,429824.1,3933.6,14173.8,3173.2,10894.7,106.0,0.0,0.0,0.0,55404.2,15133.1,40022.9,248.2,0.0,0.0,0.0,322896.6,73910.7,113158.3,135827.6,0.0,0.0,0.0,41283.1,8177.3,21488.9,11616.9,0.0,0.0,0.0
2011 Jan,437402.3,433647.2,3755.2,15772.3,3495.3,12149.4,127.5,0.0,0.0,0.0,55549.4,14907.2,40373.3,268.9,0.0,0.0,0.0,324426.4,77072.8,112351.2,135002.4,0.0,0.0,0.0,41654.2,8707.3,21683.9,11263.0,0.0,0.0,0.0
2011 Feb,438793.3,435074.0,3719.3,15082.2,3492.6,11478.1,111.6,0.0,0.0,0.0,56436.8,15727.4,40508.3,201.2,0.0,0.0,0.0,324563.3,76252.1,112923.3,135387.9,0.0,0.0,0.0,42711.0,8760.0,22719.1,11231.9,0.0,0.0,0.0
2011 Mar,444698.8,440982.1,3716.6,15410.9,4194.4,11091.4,125.1,0.0,0.0,0.0,57370.9,15343.4,41737.1,290.4,0.0,0.0,0.0,330583.0,78951.5,113585.4,138046.1,0.0,0.0,0.0,41334.0,8759.8,21157.1,11417.0,0.0,0.0,0.0
2011 Apr,454774.0,450862.5,3911.4,15043.0,3511.3,11416.1,115.6,0.0,0.0,0.0,58346.2,16976.1,41174.0,196.1,0.0,0.0,0.0,338389.7,80780.7,116289.6,141319.3,0.0,0.0,0.0,42995.1,9024.4,22303.7,11667.1,0.0,0.0,0.0
2011 May,457181.6,453182.3,3999.3,15191.8,3596.8,11490.7,104.4,0.0,0.0,0.0,58495.9,17681.9,40495.8,318.2,0.0,0.0,0.0,338788.6,81092.8,115699.6,141996.2,0.0,0.0,0.0,44705.3,9531.6,23248.5,11925.3,0.0,0.0,0.0
2011 Jun,455306.8,451214.6,4092.2,15133.8,3595.8,11439.8,98.2,0.0,0.0,0.0,59437.4,17905.9,41235.3,296.2,0.0,0.0,0.0,338298.8,81115.1,115169.3,142014.4,0.0,0.0,0.0,42436.8,9877.4,20507.6,12051.9,0.0,0.0,0.0
2011 Jul,464932.0,460752.2,4179.8,16137.5,3410.7,12636.1,90.7,0.0,0.0,0.0,59853.6,17307.0,42312.1,234.5,0.0,0.0,0.0,345417.1,82655.8,118744.0,144017.3,0.0,0.0,0.0,43523.8,10342.6,20780.1,12401.1,0.0,0.0,0.0
2011 Aug,469489.2,464880.2,4609.0,18753.4,4832.1,13832.3,89.0,0.0,0.0,0.0,65850.5,18068.2,47473.6,308.6,0.0,0.0,0.0,338240.8,84108.2,110693.9,143438.6,0.0,0.0,0.0,46644.6,10955.0,23318.5,12371.1,0.0,0.0,0.0
2011 Sep,473271.7,468464.4,4807.3,18140.3,3478.5,14560.3,101.5,0.0,0.0,0.0,66542.5,17561.3,48581.9,399.3,0.0,0.0,0.0,341733.7,86901.0,109594.2,145238.5,0.0,0.0,0.0,46855.2,12684.6,21559.3,12611.3,0.0,0.0,0.0
2011 Oct,478318.4,473708.0,4610.4,19076.0,3909.8,15056.3,110.0,0.0,0.0,0.0,67306.8,17156.6,49748.8,401.4,0.0,0.0,0.0,345447.5,88017.6,110726.1,146703.7,0.0,0.0,0.0,46488.1,12364.0,21256.6,12867.5,0.0,0.0,0.0
2011 Nov,483333.9,478530.5,4803.4,19257.0,3776.9,15357.3,122.7,0.0,0.0,0.0,65992.9,16555.7,49074.5,362.6,0.0,0.0,0.0,349429.2,90259.3,111588.9,147581.0,0.0,0.0,0.0,48654.9,12350.2,23119.8,13184.9,0.0,0.0,0.0
2011 Dec,483110.3,478180.3,4930.0,18714.0,3345.6,15248.9,119.4,0.0,0.0,0.0,63984.4,16342.6,47288.6,353.2,0.0,0.0,0.0,351934.9,88158.9,112338.1,151437.8,0.0,0.0,0.0,48477.1,12286.2,22733.8,13457.1,0.0,0.0,0.0
2012 Jan,487143.4,482404.2,4739.1,19126.0,4240.1,14759.6,126.3,0.0,0.0,0.0,63786.7,16136.3,47192.0,458.4,0.0,0.0,0.0,354370.6,87301.3,113447.3,153622.0,0.0,0.0,0.0,49860.1,13494.4,22382.8,13982.9,0.0,0.0,0.0
