Interest Rates of Banks and Finance Companies
PER CENT PER ANNUM


End of Period,,Prime Lending Rate,Banks Fixed Deposits 3 Months,Banks Fixed Deposits 6 Months,Banks Fixed Deposits 12 Months,Banks Savings Deposits,Finance Companies Loans - Hire Purchase of New Vehicles For 3 Years,Finance Companies Housing Loans For 15 Years,Finance Companies Fixed Deposits 3 Months,Finance Companies Fixed Deposits 6 Months,Finance Companies Fixed Deposits 12 Months,Finance Companies Savings Deposits
,Sep,6.05,2.88,3.23,3.78,2.75,6.57,6.13,3.27,3.59,4.25,3.20
,Oct,6.05,2.88,3.23,3.86,2.75,6.62,6.13,3.27,3.59,4.25,3.20
,Nov,6.13,2.95,3.33,3.98,2.83,6.64,6.11,3.39,3.74,4.43,3.30
,Dec,6.13,2.95,3.33,4.03,2.83,6.64,6.11,3.41,3.78,4.48,3.30
1989,Jan,6.13,2.99,3.36,4.03,2.83,6.73,6.16,3.58,3.85,4.56,3.43
,Feb,6.15,3.03,3.39,4.00,2.85,6.73,6.16,3.58,3.85,4.58,3.46
,Mar,6.18,3.05,3.41,4.03,2.88,6.78,6.16,3.58,3.85,4.59,3.46
,Apr,6.20,3.18,3.66,4.48,2.93,6.97,6.11,3.88,4.18,4.94,3.49
,May,6.23,3.25,3.79,4.58,2.95,6.98,6.11,3.95,4.25,4.96,3.52
,Jun,6.23,3.28,3.79,4.60,2.95,6.98,6.11,4.03,4.25,4.99,3.58
,Jul,6.23,3.28,3.79,4.60,2.95,6.98,6.11,4.03,4.30,5.04,3.64
,Aug,6.23,3.28,3.79,4.53,2.95,6.98,6.11,4.03,4.30,4.98,3.64
,Sep,6.23,3.28,3.79,4.53,2.98,7.00,6.17,4.10,4.38,5.00,3.64
,Oct,6.23,3.28,3.79,4.53,2.98,7.00,6.12,4.13,4.38,5.00,3.67
,Nov,6.25,3.30,3.79,4.53,2.98,7.00,6.15,4.13,4.38,4.98,3.64
,Dec,6.25,3.35,3.86,4.55,2.98,7.00,6.15,4.15,4.38,4.98,3.64
1990,Jan,6.28,3.55,4.04,4.65,2.98,7.03,6.15,4.20,4.44,4.95,3.64
,Feb,6.60,3.83,4.30,4.93,3.00,7.20,6.15,4.35,4.66,5.09,3.66
,Mar,6.65,3.93,4.33,4.93,3.00,7.42,6.22,4.43,4.75,5.16,3.66
,Apr,7.03,4.45,4.88,5.20,3.18,7.82,6.59,4.85,5.15,5.58,3.91
,May,7.23,4.50,5.00,5.28,3.28,7.87,6.59,4.93,5.24,5.68,3.94
,Jun,7.60,4.95,5.45,5.70,3.58,8.30,6.93,5.41,5.76,6.05,4.16
,Jul,7.65,5.08,5.50,5.76,3.65,8.41,7.02,5.48,5.85,6.13,4.19
,Aug,7.90,5.18,5.63,6.06,3.85,8.48,7.21,5.65,6.06,6.36,4.38
,Sep,7.90,5.20,5.63,6.08,3.88,8.58,7.26,5.65,6.03,6.33,4.47
,Oct,7.90,5.20,5.63,6.08,3.88,8.58,7.36,5.65,6.03,6.33,4.50
,Nov,7.88,5.14,5.56,5.97,3.85,8.63,7.36,5.54,5.91,6.21,4.41
,Dec,7.73,5.05,5.37,5.48,3.83,8.67,7.36,5.20,5.50,5.80,4.35
1991,Jan,7.45,4.55,4.86,5.02,3.73,8.63,7.34,4.60,4.94,5.15,4.22
,Feb,7.43,4.55,4.86,5.02,3.73,8.56,7.34,4.56,4.84,5.08,4.10
,Mar,7.43,4.52,4.85,4.99,3.73,8.56,7.34,4.58,4.85,5.08,4.03
,Apr,7.43,4.52,4.85,4.99,3.73,8.54,7.34,4.56,4.80,5.03,4.02
,May,7.43,4.53,4.87,5.00,3.73,8.56,7.34,4.61,4.81,5.08,4.02
,Jun,7.71,4.89,5.30,5.38,3.76,8.58,7.34,4.87,5.20,5.37,4.17
,Jul,7.91,4.96,5.38,5.43,3.81,8.73,7.41,5.20,5.55,5.64,4.25
,Aug,7.91,4.93,5.36,5.42,3.81,8.68,7.49,5.06,5.38,5.45,4.25
,Sep,7.85,4.88,5.24,5.28,3.75,8.63,7.44,4.91,5.15,5.32,4.25
,Oct,7.70,4.71,4.96,5.03,3.73,8.61,7.39,4.78,4.96,5.18,4.19
,Nov,7.65,4.68,4.96,5.00,3.73,8.56,7.36,4.71,4.88,5.03,4.19
,Dec,7.10,3.84,4.13,4.17,3.05,8.54,7.36,4.33,4.51,4.65,3.70
1992,Jan,6.55,3.46,3.68,3.83,2.70,8.29,7.28,3.39,3.61,3.83,2.95
,Feb,6.18,3.10,3.31,3.56,2.33,8.29,7.00,3.10,3.30,3.59,2.73
,Mar,6.18,3.10,3.31,3.56,2.33,8.25,7.00,3.10,3.38,3.68,2.67
,Apr,6.18,3.10,3.31,3.56,2.33,8.25,6.87,3.13,3.39,3.70,2.67
,May,6.18,3.10,3.31,3.56,2.33,8.25,6.82,3.14,3.40,3.80,2.60
,Jun,6.13,3.05,3.26,3.51,2.30,8.21,6.80,3.08,3.35,3.74,2.54
,Jul,5.89,2.81,3.05,3.31,2.08,8.18,6.80,2.78,3.06,3.47,2.39
,Aug,5.86,2.77,3.01,3.27,2.05,8.11,6.80,2.75,3.09,3.49,2.39
,Sep,5.63,2.56,2.79,3.06,1.86,8.11,6.77,2.63,2.95,3.39,2.29
,Oct,5.55,2.46,2.69,2.97,1.79,8.02,6.67,2.55,2.81,3.28,2.17
,Nov,5.55,2.46,2.69,2.97,1.79,7.80,6.67,2.55,2.76,3.23,2.17
,Dec,5.55,2.46,2.69,2.97,1.79,7.80,6.64,2.55,2.78,3.24,2.17
1993,Jan,5.55,2.46,2.69,3.00,1.79,7.78,6.64,2.55,2.80,3.28,2.17
,Feb,5.55,2.46,2.69,3.00,1.79,7.70,6.64,2.50,2.76,3.29,2.17
,Mar,5.38,2.28,2.53,2.83,1.60,7.40,6.62,2.36,2.54,3.05,1.95
,Apr,5.36,2.27,2.51,2.81,1.59,7.40,6.56,2.33,2.53,3.04,1.92
,May,5.36,2.27,2.51,2.81,1.59,7.45,6.45,2.36,2.55,3.06,1.92
,Jun,5.36,2.27,2.51,2.81,1.59,7.45,6.42,2.39,2.63,3.14,1.95
,Jul,5.36,2.27,2.51,2.81,1.59,7.45,6.42,2.44,2.64,3.09,1.95
,Aug,5.36,2.27,2.51,2.81,1.59,7.43,6.53,2.46,2.70,3.15,1.92
,Sep,5.36,2.28,2.53,2.81,1.59,7.40,6.53,2.48,2.74,3.22,1.92
,Oct,5.34,2.26,2.51,2.79,1.59,7.40,6.48,2.46,2.72,3.19,1.86
,Nov,5.34,2.26,2.51,2.79,1.59,7.17,6.48,2.46,2.72,3.19,1.86
,Dec,5.34,2.26,2.51,2.79,1.59,7.17,6.48,2.54,2.79,3.25,1.86
1994,Jan,5.50,2.50,2.75,3.03,1.85,7.21,6.48,2.83,3.06,3.44,1.92
,Feb,5.59,2.67,2.93,3.19,1.98,7.24,6.48,2.88,3.12,3.53,2.08
,Mar,5.59,2.67,2.93,3.19,1.98,7.17,6.48,2.92,3.18,3.63,2.14
,Apr,5.66,2.82,3.07,3.33,2.10,7.19,6.48,3.18,3.40,3.87,2.13
,May,5.73,2.90,3.15,3.43,2.18,6.99,6.55,3.25,3.49,4.00,2.25
,Jun,5.73,2.90,3.15,3.43,2.18,7.40,6.55,3.25,3.51,4.02,2.25
,Jul,5.73,2.90,3.15,3.43,2.18,7.38,6.58,3.25,3.53,4.03,2.25
,Aug,6.01,3.14,3.42,3.69,2.46,7.55,6.63,3.30,3.58,4.07,2.39
,Sep,6.01,3.14,3.42,3.69,2.46,7.59,6.72,3.43,3.70,4.18,2.49
,Oct,6.01,3.14,3.42,3.69,2.46,7.53,6.75,3.39,3.65,4.12,2.42
,Nov,6.49,3.62,3.89,4.18,2.93,7.51,6.87,3.78,3.99,4.42,2.80
,Dec,6.49,3.62,3.89,4.23,2.93,7.51,7.05,3.85,4.07,4.52,2.84
1995,Jan,6.49,3.62,3.89,4.23,2.93,7.81,7.07,3.78,4.10,4.55,2.85
,Feb,6.49,3.62,3.89,4.23,2.93,7.64,7.07,3.56,3.94,4.46,2.76
,Mar,6.49,3.62,3.89,4.23,2.93,7.44,7.07,3.45,3.83,4.43,2.76
,Apr,6.49,3.62,3.89,4.23,2.93,7.32,7.06,3.29,3.73,4.38,2.71
,May,6.49,3.62,3.89,4.23,2.93,7.03,7.06,3.13,3.60,4.18,2.59
,Jun,6.34,3.45,3.72,4.06,2.76,6.84,7.06,3.08,3.53,4.08,2.46
,Jul,6.34,3.45,3.72,4.06,2.76,6.58,7.06,3.16,3.59,4.08,2.45
,Aug,6.26,3.41,3.67,4.01,2.72,6.50,7.06,3.16,3.59,4.08,2.45
,Sep,6.26,3.41,3.67,4.01,2.72,6.45,7.03,3.18,3.61,4.06,2.43
,Oct,6.26,3.41,3.67,4.01,2.72,6.41,7.03,3.18,3.61,4.06,2.43
,Nov,6.26,3.41,3.67,4.01,2.72,6.41,7.03,3.18,3.53,4.01,2.43
,Dec,6.26,3.41,3.67,4.01,2.72,6.37,6.95,3.18,3.53,4.01,2.43
1996,Jan,6.26,3.41,3.67,4.01,2.72,6.33,6.93,3.11,3.46,3.91,2.43
,Feb,6.26,3.41,3.67,4.01,2.72,6.33,6.91,3.04,3.40,3.86,2.43
,Mar,6.26,3.41,3.67,4.01,2.72,6.31,6.76,3.05,3.35,3.81,2.46
,Apr,6.26,3.41,3.67,4.01,2.72,6.31,6.68,3.05,3.35,3.76,2.46
,May,6.26,3.41,3.67,4.01,2.72,6.04,6.68,3.10,3.45,3.90,2.49
,Jun,6.26,3.41,3.67,4.01,2.72,5.91,6.73,3.12,3.46,3.93,2.54
,Jul,6.26,3.41,3.67,4.01,2.72,5.86,6.73,3.17,3.54,3.99,2.54
,Aug,6.26,3.41,3.67,4.01,2.72,5.95,6.73,3.20,3.58,4.01,2.54
,Sep,6.26,3.41,3.67,4.01,2.72,5.86,6.83,3.20,3.58,4.01,2.54
,Oct,6.26,3.41,3.67,4.01,2.72,5.76,6.83,3.20,3.54,3.98,2.54
,Nov,6.26,3.41,3.67,4.01,2.72,5.76,6.83,3.20,3.54,3.98,2.51
,Dec,6.26,3.41,3.67,3.99,2.72,5.71,6.81,3.20,3.54,3.98,2.49
1997,Jan,6.26,3.41,3.67,3.99,2.72,5.71,6.82,3.17,3.50,3.90,2.49
,Feb,6.26,3.41,3.67,3.99,2.72,5.71,6.82,3.13,3.49,3.88,2.46
,Mar,6.26,3.41,3.67,3.99,2.72,5.70,6.82,3.13,3.48,3.85,2.46
,Apr,6.26,3.41,3.67,3.99,2.72,5.70,6.82,3.15,3.55,3.98,2.51
,May,6.26,3.41,3.67,3.98,2.72,5.70,6.82,3.15,3.55,3.99,2.54
,Jun,6.26,3.41,3.67,3.98,2.72,5.70,6.82,3.22,3.58,4.04,2.54
,Jul,6.26,3.41,3.67,3.98,2.72,5.70,6.82,3.22,3.58,4.04,2.54
,Aug,6.26,3.41,3.67,3.98,2.72,5.70,6.82,3.29,3.60,4.04,2.54
,Sep,6.26,3.41,3.67,3.98,2.72,5.99,6.83,3.34,3.62,4.04,2.54
,Oct,6.26,3.41,3.67,3.98,2.72,6.30,6.83,3.44,3.67,4.06,2.54
,Nov,6.31,3.46,3.70,4.00,2.75,6.85,6.87,3.55,3.74,4.09,2.61
,Dec,6.96,4.10,4.20,4.41,3.08,7.95,7.17,4.00,4.08,4.40,2.79
1998,Jan,7.79,5.17,5.19,5.34,3.49,9.81,7.91,5.36,5.37,5.55,3.32
,Feb,7.79,5.22,5.24,5.38,3.49,10.78,8.16,5.32,5.34,5.51,3.32
,Mar,7.74,5.16,5.18,5.32,3.46,9.58,8.20,5.03,5.07,5.26,3.32
,Apr,7.74,5.16,5.18,5.32,3.46,9.79,8.20,5.02,5.11,5.31,3.32
,May,7.79,5.22,5.24,5.38,3.49,9.84,8.23,5.20,5.32,5.47,3.32
,Jun,7.79,5.22,5.24,5.38,3.49,9.79,8.25,5.25,5.38,5.56,3.32
,Jul,7.79,5.22,5.24,5.38,3.49,9.77,8.27,5.25,5.33,5.56,3.32
,Aug,7.79,5.22,5.24,5.38,3.49,9.77,8.27,5.19,5.30,5.47,3.32
,Sep,7.54,4.76,4.79,4.94,3.24,8.91,8.27,4.79,4.89,5.04,3.26
,Oct,7.31,4.23,4.24,4.35,2.92,8.47,8.05,4.12,4.21,4.40,2.99
,Nov,6.33,2.95,3.05,3.11,1.90,7.40,7.69,2.95,3.11,3.34,2.10
,Dec,5.90,1.72,2.08,2.51,1.43,6.99,7.31,1.85,2.35,2.75,1.61
1999,Jan,5.80,1.70,2.06,2.47,1.41,6.30,7.17,1.77,2.17,2.63,1.56
,Feb,5.80,1.70,2.06,2.47,1.41,5.93,7.03,1.77,2.16,2.61,1.33
,Mar,5.80,1.68,2.04,2.46,1.36,5.66,6.95,1.77,2.21,2.66,1.33
,Apr,5.80,1.68,2.04,2.46,1.36,5.55,6.70,1.70,2.18,2.69,1.29
,May,5.80,1.68,2.04,2.46,1.36,5.58,6.70,1.70,2.16,2.64,1.22
,Jun,5.80,1.68,2.04,2.46,1.36,5.58,6.60,1.71,2.17,2.69,1.22
,Jul,5.80,1.68,2.04,2.46,1.34,5.52,6.55,1.76,2.23,2.72,1.22
,Aug,5.80,1.68,2.04,2.46,1.34,5.52,6.49,1.83,2.30,2.83,1.28
,Sep,5.80,1.68,2.04,2.46,1.34,5.52,6.30,1.83,2.34,2.86,1.28
,Oct,5.80,1.68,2.04,2.46,1.34,5.51,6.30,1.80,2.29,2.81,1.28
,Nov,5.80,1.68,2.04,2.46,1.34,5.41,6.15,1.80,2.29,2.81,1.28
,Dec,5.80,1.68,2.04,2.46,1.34,5.41,6.15,1.80,2.29,2.80,1.28
2000,Jan,5.80,1.68,2.04,2.46,1.34,5.37,6.17,1.80,2.29,2.78,1.27
,Feb,5.85,1.72,2.07,2.46,1.30,5.32,6.17,1.83,2.30,2.81,1.27
,Mar,5.85,1.72,2.07,2.46,1.30,5.32,6.17,1.83,2.29,2.79,1.27
,Apr,5.85,1.72,2.07,2.46,1.30,5.29,6.17,1.88,2.34,2.84,1.27
,May,5.85,1.72,2.07,2.46,1.30,5.29,6.15,1.88,2.34,2.84,1.33
,Jun,5.85,1.72,2.07,2.46,1.30,5.18,6.22,1.88,2.35,2.86,1.35
,Jul,5.85,1.72,2.07,2.46,1.30,5.18,6.22,1.88,2.35,2.89,1.35
,Aug,5.85,1.72,2.07,2.46,1.30,5.25,6.22,1.91,2.39,2.90,1.35
,Sep,5.85,1.72,2.07,2.46,1.30,5.25,6.22,1.91,2.36,2.88,1.35
,Oct,5.80,1.70,2.04,2.42,1.28,5.34,6.15,1.80,2.25,2.75,1.31
,Nov,5.80,1.70,2.04,2.42,1.28,5.19,6.15,1.80,2.25,2.75,1.31
,Dec,5.80,1.70,2.04,2.42,1.28,5.19,6.15,1.80,2.25,2.74,1.31
2001,Jan,5.80,1.70,2.04,2.42,1.28,5.21,6.30,1.85,2.22,2.65,1.34
,Feb,5.80,1.70,2.04,2.37,1.28,5.21,6.30,1.73,2.00,2.39,1.26
,Mar,5.80,1.70,2.04,2.37,1.28,5.21,6.30,1.69,1.93,2.30,1.26
,Apr,5.80,1.70,2.04,2.37,1.28,5.21,6.30,1.61,1.85,2.20,1.24
,May,5.80,1.70,2.04,2.37,1.28,5.20,6.30,1.60,1.84,2.19,1.24
,Jun,5.80,1.70,2.04,2.36,1.28,5.16,6.30,1.61,1.85,2.27,1.23
,Jul,5.80,1.70,2.04,2.36,1.28,5.16,6.30,1.61,1.92,2.27,1.23
,Aug,5.80,1.70,2.04,2.33,1.28,5.78,6.45,1.51,1.78,2.15,1.15
,Sep,5.48,1.36,1.69,1.93,0.96,5.88,6.40,1.48,1.66,2.06,1.06
,Oct,5.30,1.15,1.45,1.67,0.82,5.88,6.40,1.32,1.48,1.86,0.94
,Nov,5.30,1.11,1.43,1.61,0.79,5.88,6.40,1.23,1.41,1.70,0.92
,Dec,5.30,1.02,1.33,1.53,0.77,5.85,6.40,1.20,1.39,1.65,0.85
2002,Jan,5.30,1.00,1.29,1.51,0.75,5.97,6.42,1.15,1.34,1.52,0.82
,Feb,5.35,0.98,1.25,1.46,0.71,5.97,6.42,1.15,1.34,1.48,0.79
,Mar,5.35,0.95,1.23,1.44,0.71,5.97,6.42,1.13,1.32,1.48,0.84
,Apr,5.35,0.95,1.23,1.44,0.71,5.97,6.42,1.13,1.32,1.48,0.84
,May,5.35,0.91,1.18,1.38,0.60,5.97,6.42,1.13,1.32,1.48,0.81
,Jun,5.35,0.91,1.18,1.40,0.54,5.08,6.29,1.11,1.27,1.46,0.70
,Jul,5.35,0.83,1.11,1.38,0.52,5.08,6.29,1.03,1.22,1.44,0.70
,Aug,5.35,0.78,1.06,1.33,0.45,5.08,6.29,0.94,1.16,1.36,0.65
,Sep,5.35,0.78,1.05,1.33,0.45,5.08,6.29,0.77,0.98,1.26,0.55
,Oct,5.35,0.78,1.05,1.33,0.45,5.08,6.29,0.74,0.99,1.28,0.53
,Nov,5.35,0.78,1.05,1.32,0.44,5.08,6.29,0.73,0.99,1.35,0.55
,Dec,5.35,0.78,1.05,1.32,0.44,5.15,6.09,0.76,1.08,1.50,0.55
2003,Jan,5.35,0.78,1.05,1.30,0.44,5.05,6.09,0.76,1.08,1.43,0.50
,Feb,5.33,0.73,1.01,1.25,0.38,4.77,6.09,0.74,1.05,1.41,0.48
,Mar,5.30,0.62,0.88,1.15,0.32,4.67,6.09,0.68,1.00,1.33,0.48
,Apr,5.30,0.62,0.88,1.15,0.32,4.58,5.86,0.69,0.97,1.32,0.47
,May,5.30,0.44,0.56,0.74,0.24,4.58,5.86,0.47,0.72,0.96,0.38
,Jun,5.30,0.42,0.53,0.72,0.24,4.58,5.86,0.43,0.66,0.85,0.33
,Jul,5.30,0.42,0.53,0.70,0.24,4.58,5.86,0.40,0.57,0.76,0.28
,Aug,5.30,0.40,0.52,0.70,0.24,4.58,5.86,0.40,0.57,0.76,0.27
,Sep,5.30,0.40,0.52,0.70,0.24,4.58,5.86,0.40,0.57,0.76,0.27
,Oct,5.30,0.40,0.52,0.70,0.24,4.58,5.86,0.40,0.57,0.76,0.27
,Nov,5.30,0.40,0.52,0.70,0.24,4.36,5.98,0.44,0.60,0.79,0.31
,Dec,5.30,0.40,0.52,0.70,0.24,4.36,5.98,0.44,0.60,0.79,0.31
2004,Jan,5.30,0.40,0.52,0.70,0.24,4.36,5.98,0.48,0.69,0.94,0.31
,Feb,5.30,0.40,0.51,0.70,0.23,4.36,5.98,0.48,0.69,0.94,0.31
,Mar,5.30,0.40,0.51,0.70,0.23,4.36,5.40,0.48,0.69,0.94,0.31
,Apr,5.30,0.40,0.51,0.70,0.23,4.36,5.40,0.48,0.69,1.05,0.31
,May,5.30,0.40,0.51,0.70,0.23,4.36,5.40,0.48,0.69,1.05,0.31
,Jun,5.30,0.40,0.51,0.70,0.23,4.36,5.40,0.48,0.69,1.05,0.31
,Jul,5.30,0.40,0.51,0.70,0.23,4.36,5.40,0.48,0.69,1.05,0.31
,Aug,5.30,0.40,0.51,0.71,0.23,4.24,5.40,0.48,0.70,0.98,0.31
,Sep,5.30,0.41,0.52,0.72,0.23,4.24,5.40,0.48,0.70,0.98,0.31
,Oct,5.30,0.41,0.52,0.72,0.23,4.24,5.40,0.48,0.70,0.98,0.31
,Nov,5.30,0.41,0.52,0.72,0.23,4.24,5.40,0.48,0.70,0.98,0.31
,Dec,5.30,0.41,0.52,0.72,0.23,4.24,5.40,0.48,0.70,0.98,0.31
2005,Jan,5.30,0.41,0.52,0.72,0.23,4.11,5.40,0.48,0.70,1.06,0.31
,Feb,5.30,0.41,0.52,0.72,0.23,4.11,5.40,0.64,0.81,1.10,0.31
,Mar,5.30,0.41,0.52,0.72,0.23,4.09,5.40,0.85,0.98,1.31,0.31
,Apr,5.30,0.42,0.53,0.74,0.23,4.09,5.40,0.64,0.81,1.27,0.31
,May,5.30,0.42,0.53,0.74,0.23,4.09,5.56,0.64,0.81,1.27,0.31
,Jun,5.30,0.42,0.53,0.74,0.23,4.31,5.56,0.64,0.81,1.27,0.31
,Jul,5.30,0.42,0.53,0.74,0.23,4.31,5.56,0.60,0.77,1.19,0.31
,Aug,5.30,0.42,0.53,0.74,0.23,4.31,5.56,0.60,0.77,1.19,0.31
,Sep,5.30,0.42,0.53,0.74,0.23,4.31,5.56,0.60,0.77,1.19,0.31
,Oct,5.30,0.45,0.57,0.78,0.25,4.31,5.56,0.60,0.77,1.19,0.31
,Nov,5.30,0.53,0.62,0.83,0.25,4.96,5.56,0.77,0.94,1.35,0.31
,Dec,5.30,0.56,0.66,0.86,0.26,4.96,5.56,0.83,1.06,1.56,0.42
