Interest Rates of Banks and Finance Companies
PER CENT PER ANNUM


End of Period,,Prime Lending Rate,Banks Fixed Deposits 3 Months,Banks Fixed Deposits 6 Months,Banks Fixed Deposits 12 Months,Banks Savings Deposits,Finance Companies Loans - Hire Purchase of New Vehicles For 3 Years,Finance Companies Housing Loans For 15 Years,Finance Companies Fixed Deposits 3 Months,Finance Companies Fixed Deposits 6 Months,Finance Companies Fixed Deposits 12 Months,Finance Companies Savings Deposits
1983,Jan,9.53,6.75,6.80,7.13,6.50,12.67,12.42,7.15,7.30,7.70,7.21
,Feb,9.25,6.40,6.70,6.93,6.40,12.58,12.21,6.70,7.03,7.33,7.08
,Mar,9.10,6.18,6.48,6.83,6.30,12.36,11.97,6.48,6.78,7.18,7.00
,Apr,9.03,6.10,6.35,6.73,6.15,12.19,11.92,6.38,6.65,7.13,7.00
,May,9.03,6.10,6.35,6.73,6.13,12.14,11.84,6.50,6.75,7.18,7.00
,Jun,8.88,6.05,6.30,6.63,6.08,12.00,11.57,6.50,6.75,7.15,7.00
,Jul,9.00,6.18,6.40,6.65,6.13,12.00,11.38,6.70,6.95,7.25,7.00
,Aug,9.00,6.30,6.48,6.73,6.23,12.00,11.26,6.75,6.98,7.28,7.00
,Sep,8.95,6.38,6.50,6.73,6.23,11.91,10.92,6.75,7.00,7.33,7.17
,Oct,8.93,6.35,6.48,6.70,6.20,11.65,10.74,6.78,7.00,7.30,7.21
,Nov,8.93,6.45,6.48,6.70,6.20,11.51,10.58,6.80,7.00,7.33,7.21
,Dec,8.98,6.53,6.55,6.75,6.30,11.38,10.56,6.90,7.08,7.38,7.21
1984,Jan,9.05,6.63,6.63,6.83,6.38,11.38,10.46,7.03,7.18,7.43,7.21
,Feb,9.00,6.63,6.60,6.80,6.38,11.30,10.46,7.03,7.18,7.43,7.21
,Mar,9.20,6.78,6.75,6.95,6.48,11.30,10.43,7.10,7.20,7.45,7.21
,Apr,9.63,7.18,7.13,7.18,6.96,11.34,10.53,7.48,7.50,7.73,7.33
,May,9.98,7.35,7.33,7.35,7.16,11.38,10.63,7.68,7.70,7.88,7.46
,Jun,10.08,7.35,7.33,7.35,7.26,11.47,10.76,7.73,7.75,7.93,7.57
,Jul,10.10,7.35,7.33,7.35,7.26,11.52,10.84,7.90,7.90,8.08,7.79
,Aug,10.10,7.35,7.33,7.35,7.26,11.61,10.89,7.95,8.00,8.15,7.82
,Sep,10.33,7.58,7.60,7.58,7.49,11.70,10.91,8.05,8.15,8.23,7.86
,Oct,10.08,7.10,7.28,7.43,7.14,11.70,10.91,7.64,7.85,8.00,7.61
,Nov,9.68,6.40,6.65,6.98,6.78,11.64,10.86,6.85,7.10,7.38,7.04
,Dec,9.40,6.00,6.35,6.80,6.53,11.51,10.83,6.48,6.75,7.18,6.93
1985,Jan,9.08,5.78,6.10,6.55,6.30,11.51,10.69,6.00,6.30,6.93,6.71
,Feb,9.03,5.70,6.03,6.50,6.28,11.48,10.64,6.03,6.33,6.93,6.64
,Mar,9.03,5.73,6.03,6.50,6.28,11.48,10.57,6.03,6.33,6.93,6.64
,Apr,8.73,5.38,5.68,6.15,6.13,11.21,10.39,5.68,5.95,6.60,6.34
,May,8.48,5.15,5.40,5.83,5.90,11.08,10.29,5.28,5.53,6.15,5.94
,Jun,8.28,5.03,5.28,5.65,5.68,11.08,10.21,5.18,5.43,6.05,5.84
,Jul,8.03,4.63,4.90,5.23,5.43,10.99,10.10,4.90,5.15,5.60,5.63
,Aug,7.28,4.38,4.63,4.90,5.18,10.72,10.00,4.78,5.03,5.40,5.47
,Sep,7.20,4.38,4.60,4.85,5.15,10.48,9.62,4.73,4.98,5.35,5.44
,Oct,7.23,4.60,4.73,4.88,5.18,10.44,9.49,4.88,5.08,5.35,5.47
,Nov,7.20,4.58,4.70,4.88,5.18,10.39,9.39,4.88,5.03,5.30,5.41
,Dec,7.20,4.58,4.70,4.88,5.18,10.39,9.39,4.88,5.03,5.30,5.41
1986,Jan,7.20,4.55,4.68,4.88,5.03,10.35,9.36,4.88,5.00,5.30,5.38
,Feb,7.20,4.55,4.68,4.88,5.03,10.32,9.36,4.75,4.90,5.15,5.31
,Mar,7.18,4.45,4.63,4.83,5.00,10.08,9.36,4.73,4.88,5.13,5.28
,Apr,7.15,4.43,4.58,4.75,4.80,9.99,9.19,4.75,4.93,5.15,5.19
,May,7.15,4.43,4.55,4.73,4.78,9.90,9.08,4.75,4.93,5.15,5.19
,Jun,7.15,4.43,4.55,4.73,4.78,9.77,9.06,4.75,4.88,5.08,5.16
,Jul,7.05,4.10,4.33,4.40,4.40,9.63,8.98,4.56,4.73,4.85,4.88
,Aug,6.83,3.90,4.03,4.18,4.13,9.45,8.93,4.14,4.33,4.51,4.53
,Sep,6.45,3.33,3.45,3.68,3.63,9.14,8.85,3.65,3.79,3.98,4.00
,Oct,6.28,3.00,3.13,3.35,3.28,9.00,8.42,3.28,3.39,3.64,3.75
,Nov,6.10,2.88,3.03,3.30,3.10,8.91,8.27,3.18,3.29,3.55,3.53
,Dec,6.10,2.88,3.03,3.30,3.05,8.91,8.09,3.19,3.29,3.60,3.53
1987,Jan,6.10,2.88,3.03,3.30,3.05,8.91,7.74,3.16,3.26,3.58,3.53
,Feb,6.10,2.88,3.03,3.30,3.05,8.87,7.74,3.16,3.29,3.65,3.50
,Mar,6.10,2.85,3.00,3.28,3.03,8.78,7.66,3.16,3.29,3.65,3.50
,Apr,6.10,2.85,3.00,3.28,3.03,8.46,7.59,3.16,3.29,3.65,3.50
,May,6.10,2.85,3.05,3.38,3.03,8.42,7.46,3.21,3.34,3.70,3.50
,Jun,6.10,2.88,3.08,3.45,3.03,8.24,7.38,3.30,3.45,3.86,3.53
,Jul,6.10,2.88,3.08,3.48,3.03,8.06,7.36,3.33,3.48,3.90,3.53
,Aug,6.10,2.88,3.08,3.48,3.03,7.88,7.28,3.33,3.50,3.93,3.53
,Sep,6.10,2.90,3.15,3.60,3.05,7.88,7.25,3.35,3.55,3.98,3.53
,Oct,6.10,2.98,3.23,3.76,3.08,7.88,7.20,3.40,3.60,4.08,3.56
,Nov,6.10,2.95,3.23,3.74,3.08,7.76,7.18,3.33,3.53,4.05,3.56
,Dec,6.10,2.85,3.11,3.53,2.98,7.76,7.13,3.20,3.48,3.98,3.50
1988,Jan,5.98,2.66,2.91,3.31,2.75,7.61,7.06,3.03,3.35,3.84,3.25
,Feb,5.93,2.61,2.86,3.26,2.70,7.37,6.86,2.85,3.12,3.67,3.14
,Mar,5.85,2.58,2.85,3.25,2.68,7.08,6.81,2.84,3.08,3.62,3.06
,Apr,5.85,2.58,2.85,3.25,2.68,6.79,6.67,2.81,3.05,3.60,3.06
,May,5.85,2.58,2.85,3.28,2.68,6.65,6.36,2.84,3.04,3.58,3.00
,Jun,5.85,2.60,2.98,3.45,2.65,6.65,6.18,2.89,3.19,3.75,3.00
,Jul,5.85,2.70,3.00,3.51,2.65,6.65,6.16,2.99,3.29,3.85,3.05
,Aug,6.05,2.88,3.18,3.75,2.75,6.67,6.13,3.22,3.50,4.12,3.17
