Data Series,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q 
      Central Provident Fund (CPF),519172.7,505718.8,495629.5,485201.2,473973.8,462130.6,453047.7,444814.2,435353.2,425110.2,417482.9,409361.5,400875.5,391117.5,383965,376635.4,368453.7,359514.6,353085.1,345711.5,337980,328895.3,322067.5,314837.9,307682.8,299522.4,293913.6,288304.5,282409,275363.9,270159.2,264767.6,259565.6,252968.6,248110.2,242503.4,237160.5,230157.7,224720.3,219267.4,214127.9,207545.5,202677.4,197666.2,192102.9,185888,181712.1,176596,172094.3,166804,163593.4,159777.4,156096,151307.1,147439.8,143399.8,139790.4,136879.9,134159.7,131449.5,129040.2,126082.4,124602.5,122890.9,122058.3,120070.3,118757.1,117239.8,115172.3,112160.3,109994.6,107795.8,106273.2,103833.3,102371.2,100574.6,98935.1,96720.9,95674.9,94822,93987.4,92519.7,90873.3,90111.2,90675,90583,89792.7,89278.8,89706.4,88684.9,88850.4,88396.1,87687.4,85567.9,83470.7,82650.8,82077.1,79959.1,78077.6,76765.5,75879.8,72882,70509.3,70517.1,69103.4,66343.6,64259.3,62055.2,60080
      Pension Funds,16610.3,16602.2,16582.8,16563.4,16555.4,16602.8,16717.4,16832,16879.4,16864.5,16828.5,16792.5,16777.6,16753.5,16695.4,16637.2,16613.1,16556.1,16418.4,16280.7,16223.7,16180.1,16074.9,15969.8,15926.2,15687,15109.4,14531.8,14292.5,14263.7,14194.2,14124.7,14095.9,14078.4,14036.2,13993.9,13976.4,13955.7,13905.9,13856,13835.3,13692.7,13348.4,13004.1,12861.5,12752.6,12489.6,12226.6,12117.7,12136.7,12182.5,12228.4,12247.3,12322,12502.1,12682.2,12756.9,12803.4,12915.7,13027.9,13074.4,13096.6,13150,13203.4,13225.6,13186,13090.6,12995.1,12955.6,12944,12915.8,12887.7,12876.1,12856.2,12808.3,12760.4,12740.5,12706.6,12624.7,12542.9,12509,12352.7,12570.3,12787.9,12878.1,12955.8,13143.4,13331,13408.7,13188.2,12655.6,12123.1,11902.5,11263.1,11889.8,12516.6,12776.2,12639.2,12308.4,11977.6,11840.5,11792.1,11675.3,11558.4,11510,11231.8,10560,9888.2,9610
    Residential Property Assets,1183624.3,1164320.3,1117213.1,1092965.1,1071930.5,1026233.8,1000641.2,981489.7,978583.4,981420.3,971917.6,956627.1,949027.8,946965.5,948535.2,942120.6,917403.6,894540.1,886982.5,875431.2,869675.4,862224.9,855262.6,851031.5,843686.2,833489.7,831637,825128.8,823820.2,818710.5,823929.9,826293,824590.1,828415.5,836891.2,835830.5,823207.2,813189.9,793255.7,779624.3,768093.9,760106.1,751094.2,727977.5,704676.5,689351,665931.3,639642,607133.5,576056.3,543123.2,502023.1,505365.5,539616.4,546323.1,539962.7,526753.3,506099.5,479341.7,446664.9,421883,407777.5,399419.3,396271.4,390301.6,384210.4,380182.3,373384.8,381496.7,381718.7,376579.1,377777.3,371835.3,370679.5,368047.9,366750.6,362266.5,359894.2,358974.1,349043.7,348064,350165,356410.5,360753.4,365763,376483.7,382039.3,380779.8,378751.6,364718.6,351036.5,317860,296160.9,289373.4,304789.9,320853.1,339131.4,362943.6,379844.8,386656.6,387573,391945.6,390571.3,387577.5,354823.6,332639.3,312958.5,305289.2,287761.5
      Public Housing,526145.1,516878.3,501181.2,487378.2,470596.7,451533.2,434417.6,424805,424221.2,425696.5,423738.9,417951.7,418764.1,420062,421013.9,422192.2,418852.4,421000.6,420977.5,418072.8,415056.8,413575.6,411419.7,409120.4,404755.3,400951.4,397318,394521.5,395330.8,394669.3,400868.4,405610.7,406382.7,412752.5,421150.2,425400.9,419425.2,415738.5,405937.1,397181.3,391921.8,389420.4,382803.9,367830.3,354819.2,349156.4,339223.4,327985.1,314498.4,304977.7,291606.5,283346.7,277369.2,281179.9,279157.3,268697.7,257732.8,245922.1,231041.1,215582.4,208322.1,203588.4,201623.3,203200.1,201223.4,199916.6,199129.5,196117.8,205962.3,208157.3,206009.3,211190.2,208585.4,207489.9,205093.5,204706.1,200420.2,197766.9,197766.9,189650.4,189254,190015.1,192777.5,193462.9,196567.7,200902.4,205498.9,203281.9,205876.2,200215.8,195863.3,176511.9,174038.3,175203.6,181511,178633.3,186385.6,196831.9,209285.5,210251.2,212433.2,211176.6,205623.4,195375.3,173148.8,156472,143727,135742.1,121615.1
      Private Housing,657479.2,647442,616032,605586.9,601333.7,574700.6,566223.6,556684.7,554362.2,555723.8,548178.7,538675.4,530263.7,526903.5,527521.3,519928.4,498551.2,473539.5,466005,457358.4,454618.6,448649.3,443842.9,441911.1,438930.9,432538.3,434319,430607.3,428489.4,424041.2,423061.5,420682.3,418207.4,415663,415741,410429.6,403782,397451.4,387318.6,382443,376172.1,370685.7,368290.3,360147.2,349857.3,340194.6,326707.9,311656.9,292635.1,271078.6,251516.7,218676.4,227996.3,258436.5,267165.8,271265,269020.5,260177.4,248300.6,231082.5,213560.9,204189.1,197796,193071.3,189078.2,184293.8,181052.8,177267,175534.4,173561.4,170569.8,166587.1,163249.9,163189.6,162954.4,162044.5,161846.3,162127.3,161207.2,159393.3,158810,160149.9,163633,167290.5,169195.3,175581.3,176540.4,177497.9,172875.4,164502.8,155173.2,141348.1,122122.6,114169.8,123278.9,142219.8,152745.8,166111.7,170559.3,176405.4,175139.8,180769,184947.9,192202.2,181674.8,176167.3,169231.5,169547.1,166146.4
  Liabilities,360510.3,359502.7,354048.6,346519.9,340119.7,335267.6,331508.7,329558,334678.5,341147.5,340195.7,341482.4,344040.6,345974,345640.9,345076.6,344135.4,341819.7,335894.9,331323,327804,325940.9,325039.5,321527.8,317826,318436.6,316056.1,314254.1,313022.9,311358.3,307749.1,303237.2,298343.9,295557.7,290196,285931.3,281527.8,276495.6,268202.3,260212.5,253608.5,247876.8,242250.1,234473.4,225010.1,220192.3,213337.1,206753.4,200687.6,197891.1,192727.7,189553.8,186476.5,186263.5,184833.7,182470,179300.8,178648.1,174673.9,169213.9,166774,166021.1,165427.8,165340.3,165653.2,166443.9,166237.8,165485.5,165269.7,165091.4,164568.6,163757.1,162727.2,162488.1,160848.8,159435,158095.5,155203.4,153700.3,152724.9,151591,151464.7,149477.2,147261.6,145685.6,143748.3,140679.1,137460.7,134748.5,131832.9,128967.2,125758.8,122551.7,120251.4,116377.1,113693.2,110314.3,107883,104971.1,100522.6,96427.3,92687.2,89276.4,86047.7,81571.4,77554.9,73637.7,69964.7,66667.8
    Mortgage Loans,257605.3,255485.9,252204.5,248922.7,245058.2,243163.7,241573,242683.5,243902.7,244543.3,244938.1,245787.8,247032.7,248040.2,247283.5,246576.9,245557.4,243904.1,240047.2,237540,235993.4,234533.7,231218.8,229243.7,227087.9,226067.2,224056.7,221277.6,219962.7,218075.6,214855.2,212026.5,208865.2,206663,204096,200718.2,197890.9,194173.1,187789.8,183137.2,178648.7,175595.4,171579.9,166789.7,162885.2,159188.6,154208.5,149075.5,143603.2,140878.6,136964.4,133172.1,131408.4,130781.7,129519.5,128325.4,127273.7,126845.2,124701.7,121113.7,119629.8,119199.5,119088.9,119072.6,119572.6,119815.4,119218.8,119056.1,119242.3,118760.4,118662.3,117287.4,116495.9,115495.8,114352.2,113313.2,112716.3,112346.5,111029.2,110506.7,109382.9,108129.1,106748,105259.8,104075,102721.3,100646.9,98995.2,97006.7,95240.8,92799.3,89935.8,86904.2,83859.7,80253.5,76979.2,73661.2,70427.7,67316.2,63913.8,61211.3,58473.4,56085.2,52984,49745.8,46894.3,44439.5,42054.2,39893.7
      Financial Institutions,219690.4,217120.2,213499.2,210087.3,207139.2,204620.6,202398.1,202887.9,203709,204197.6,204731,205626.6,206728.8,207616,207097.8,206293.4,204910.6,203511.6,200318.8,198138.7,196455.7,195493.6,192449.8,190678.7,188875.1,188198.2,186346.2,183768.2,182596.7,180897.6,177916.3,175227.4,172252.9,169900.9,167101.4,163189.3,159801.6,155237.4,148298,143077.1,138283.7,134611.6,130209.1,124953.8,120450.5,116141.9,110545,104656.2,98502.8,95019.4,90704.9,86468.1,84322.8,83181.1,81203.2,79435.5,77633.5,76564.9,73803.6,69519.1,67444.3,66415,65727.2,65118.1,65053.7,64859.1,63827.8,63246.2,62690.7,61349.1,60349.3,58138.9,56622.2,54607.7,52464.6,50326.8,48486,47936.7,47060.9,47026.5,46461.4,45905.8,45276.5,44539.7,44021.8,43433.4,42438.1,41749.6,40911.8,40359.8,39548,38688.9,37812.1,37180.7,36375.7,35610.1,34902.9,34249.7,33108.1,31675.7,30943.2,30175.2,29510.8,28133.4,26619,25491.3,24275.8,23129.7,22208.5
      Housing & Development Board (HDB),37914.9,38365.7,38705.3,38835.4,37919,38543.1,39174.9,39795.6,40193.7,40345.7,40207.1,40161.2,40303.9,40424.2,40185.7,40283.5,40646.8,40392.5,39728.4,39401.3,39537.7,39040.1,38769,38565,38212.8,37869,37710.5,37509.4,37366,37178,36938.9,36799.1,36612.3,36762.1,36994.6,37528.9,38089.3,38935.7,39491.8,40060.1,40365,40983.8,41370.8,41835.9,42434.7,43046.7,43663.5,44419.3,45100.4,45859.2,46259.5,46704,47085.6,47600.6,48316.3,48889.9,49640.2,50280.3,50898.1,51594.6,52185.5,52784.5,53361.7,53954.5,54518.9,54956.3,55391,55809.9,56551.6,57411.3,58313,59148.5,59873.7,60888.1,61887.6,62986.4,64230.3,64409.8,63968.3,63480.2,62921.5,62223.3,61471.5,60720.1,60053.2,59287.9,58208.8,57245.6,56094.9,54881,53251.3,51246.9,49092.1,46679,43877.8,41369.1,38758.3,36178,34208.1,32238.1,30268.2,28298.2,26574.4,24850.6,23126.8,21403,20163.8,18924.5,17685.3
    Personal Loans,102905,104016.7,101844.1,97597.2,95061.5,92103.9,89935.7,86874.6,90775.8,96604.2,95257.6,95694.7,97007.9,97933.8,98357.4,98499.7,98577.9,97915.5,95847.7,93783,91810.6,91407.2,93820.7,92284.1,90738.2,92369.4,91999.4,92976.6,93060.1,93282.7,92894,91210.7,89478.6,88894.6,86099.9,85213.1,83636.9,82322.4,80412.5,77075.3,74959.8,72281.4,70670.2,67683.8,62124.9,61003.7,59128.6,57677.9,57084.4,57012.5,55763.3,56381.7,55068.1,55481.8,55314.1,54144.6,52027.2,51802.9,49972.2,48100.3,47144.2,46821.6,46338.9,46267.8,46080.6,46628.5,47019,46429.4,46027.5,46331,45906.3,46469.6,46231.3,46992.3,46496.6,46121.8,45379.2,42857,42671.1,42218.2,42208.1,43335.6,42729.2,42001.8,41610.5,41027,40032.2,38465.5,37741.7,36592.1,36167.9,35823.1,35647.5,36391.7,36123.7,36714,36653.1,37455.3,37655,36608.8,35215.9,34213.8,33191.2,33063.7,31825.6,30660.6,29198.2,27910.4,26774
