Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 
      Retail Trade,102.4,101.8,101.2,103.3,102.3,101.7,100,99.8,98.9,98.9,98.4,90.4,87,80.5,76.6,74.9,74.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Transportation & Storage,111.5,102,95.1,93.6,96.8,89.5,100,92.7,86.4,85.2,83.3,99.5,89.7,95.9,98.1,90.9,94.4,93.9,87.5,76.1,80.8,87.2,81.7,80.4,85.5,85.7,87.5,86.9,83.7,81.9,85.6,79.3,78.8,74.6,70.6,68.1,71.9,70.2,72.8,69.1,69.7,66.9,61.2,63.2,58.5,56.9,54.6,52.5,48,47.8,45.9,44.1,44,43.9,43.8,43.9,43.5,42.2,41.6,41.3,40.7,40.5
    Accommodation & Food Services,88.4,89.7,104.9,103.1,101.8,101.2,100,98.7,96.2,95.7,92.2,87,81.9,84.7,78.5,72.8,71.4,75.2,74.5,71.9,71.1,69.5,71.1,72.5,71.9,70.9,71,68.8,68,67.2,68.4,66.6,60.6,56,55.7,56.9,61.1,61.9,62.7,61.9,57.4,52.9,47,42.9,40,38.9,38.3,35.6,31.5,27.2,26.7,26.5,27,27.3,27.3,26.5,25.9,25.9,25.3,24.6,24.5,24.5
      Accommodation,65.9,70.2,103.6,101.8,100.5,100.1,100,100.3,97.5,99.5,94.6,86,77.7,95.1,80.6,68.5,60,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Food & Beverage Services,109,107.6,105.9,104,102.7,101.9,100,97.7,95.2,93,90.7,88.2,85.5,78.2,77.6,76.7,80.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Information & Communications,106.8,104.2,104.5,103.8,104,103.2,100,99.8,99.9,99.5,98.3,95.6,94.9,92,93.1,91.4,90.6,89.3,90.9,91.2,99.5,97.4,104.4,106.6,117.3,125.9,131.3,131.8,134.7,133,134.4,130,125.9,117.9,115.5,114.9,124.2,131.3,130.9,145.9,166.1,170.4,169.8,177.2,169.9,174,172.8,172.1,159.6,158.9,159.1,153.3,153.5,153.5,153.2,153.1,153.2,152.7,153.1,153.2,153.1,152.4
    Finance & Insurance,104.3,105.9,110.5,109.1,105,102.4,100,96.4,98.2,101.6,100.9,104.4,109.3,105.5,106.7,99.8,95.1,94.9,92.9,107.1,101.5,105.8,102.4,113.4,95.2,86.9,92.5,87.2,86.4,88.5,91.8,100.9,95.2,97.1,94.4,94.8,98.8,102,102.8,104.3,89.1,86.6,79.6,73.7,71.6,69.9,70.2,67.6,60.6,51.5,49.3,48.7,49,48.7,46.9,45.9,46.7,46.6,46,45.4,45.2,45
"    Real Estate, Professional Services And Administrative & Support Services",103.7,101.4,102.5,101.3,99.5,100,100,99.4,98,95.2,92.7,87.9,81.1,84.2,78.8,72.3,69.5,68.2,67.4,68.6,69.4,70,66.8,66.9,73.1,73.3,69.6,62.1,55.2,52.1,50.3,48.1,42.8,37.6,35,36.8,36.7,41.7,40.3,37,36.2,27.2,23,21.6,20.2,19.7,18.4,18.1,14.6,13.2,11.9,11.5,11.4,11.4,11.1,10.9,9.9,10,10.4,10.7,10.4,10.2
      Real Estate,90.2,91,98.5,96.1,92.7,95.4,100,102.7,102.8,98.9,95.7,86,74.6,83.7,75.9,64.2,60.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Professional Services,108.6,105.2,103.2,101.2,100.1,101.1,100,98,96.3,93.6,91.9,87.1,82.8,83.5,77.2,72.8,70.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
