Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 
      Retail Trade,6712.8,6092.7,7476.2,7699.8,7608.9,7528,7278.4,6909.5,6681.7,6601.3,6434.9,6250.4,6228.2,6639.3,6782.4,6472.9,6182.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Transportation & Storage,27543.9,26236.8,32845.7,32930.9,32643.8,30998.6,30015,29224.7,28643.1,27811.1,26614.8,25392,23927.3,26249,25109.3,22926.2,21927,20494.3,18327.5,18575.8,17625.8,17740.2,17125.2,16014.3,15392.5,14529.2,13681.1,12569.1,11629.6,10673.6,10209.7,9603.1,8845.9,8150.3,7340,6881.1,6457.5,6347.4,5741.9,5299.5,4853,4424.7,3957.6,3459.3,3038.5,2667.5,2309.9,2154.1,1970.7,1616.5,1372.5,1201,1043.5,910.3,780.1,706.1,675.6,639.4,689.7,679.3,670.8,632.5
    Accommodation & Food Services,7596.8,7412.2,9536.2,9518.8,9176.4,9081.9,8763.1,8777.5,8536.4,8196.5,7835.7,6970.9,6068.7,6322.6,6205.3,5914.3,5577.1,5130.2,4662.2,5138.7,5396.1,5476,5051.5,4804.1,5173.6,4852.5,4565,4344.7,4154,3917.4,3578.8,3563.1,3465.5,3072,2641.9,2403,2272.4,2277.6,2233.4,2178.4,2060.6,1887.4,1681.3,1558.6,1430.9,1309.1,1208.6,1169,1135.5,1017.5,860.9,723.8,627.2,554.8,485.5,434.4,406.2,389.2,384.2,370.1,352.7,333.1
      Accommodation,3632.6,3571,4149.4,4160.2,3873,3758.8,3604.7,3631.1,3559.8,3510.5,3525.3,3015.4,2459.2,2546,2675.4,2570,2501.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Food & Beverage Services,3965.7,3851.9,5391.1,5363.2,5304.7,5322.8,5158.4,5145.7,4975.4,4678.4,4295.6,3939.3,3580.2,3749.7,3496.7,3314.9,3068,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Information & Communications,26537.5,23646.4,21809,19171.6,18048.5,16970.8,16227.4,16232.1,15153.2,14079.3,13007.4,12093.9,11274.9,10611.7,9972.1,9376.2,8975.9,8494,7794.1,7269.7,6895.9,6003,5165.8,4465.5,3963.3,3293.5,2940,2529.9,2212.7,1905.5,1642.6,1448.4,1270.6,1145.1,964.3,852.9,776.1,725.3,657.2,557,454.9,371,308,261.7,215,174.6,158.6,123.8,108.9,91.1,75.5,68.1,61.3,56.8,48.1,42.2,38.7,37.6,36.9,35.5,33.5,33
    Finance & Insurance,70710.2,65852.9,61601.9,57509.7,54244.4,50655.8,49872.2,47665.8,43670.4,37133,34997.6,32559.9,28889.4,28613.3,27709.6,23565.6,20693.6,19536.6,18179.1,15582.3,16264.3,14747,15019.1,14975.7,18765,16280.7,14087.8,14431.3,13431.4,11332.2,9651.7,9106.5,7502.4,6384.1,6193,5103.5,5129.5,4461.9,3846,3507.6,3531.1,2649.6,2026.7,1837.9,1580.5,1557.6,1407.7,1173.3,1033.1,873,723.9,612,541.9,434.6,352.7,324.2,279.1,253.9,234.2,215.7,191.3,159.7
"    Real Estate, Professional Services And Administrative & Support Services",59987.1,58087.5,66201.2,68909.7,67055.8,65627.1,62666.4,57891.1,56441.7,53545.6,51277.4,47767.2,43942.1,42234.9,38723.1,33706.3,31683.2,29026.3,27031,26392.5,24937.8,25057.8,23991.7,23837.7,23092.1,21097.2,19436.3,18725.8,16946.3,16057.4,14611.3,13636.3,12855.4,11494.8,9910.3,9061.2,9254.1,8658.5,8635,8558.5,6909.8,6622.8,6305.3,5942,6044.8,5940.1,6071.7,6075.4,6041,5614.1,5198.5,4409.3,3801.1,3275,2979.5,2583.1,2649.8,2297.1,2076,1864.4,1559.4,1439.2
      Real Estate,16328.2,14756.6,17097.2,17005.7,16929.7,18254.2,18781.5,18461.7,18727.5,17267,16859.7,16317.1,14774.6,13568,12330.8,11064.4,11154.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Professional Services,27046.2,25911.6,28179,26703.5,25875.7,24646,24218.6,22562.5,22492.5,22424.9,21410.9,20988.5,20126.5,19562.2,18753.6,16312,14961.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
