Data Series,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q 
Gross External Debt,2441891.5,2390923.1,2326407,2265002.1,2268249.7,2266976.4,2245667.9,2299282.5,2432739.8,2172999.8,2190583.6,2158525.6,2100978.5,2091743.4,2086525.2,2148980.5,2077970.6,2008918.2,1979679.7,1947463.9,1943035.6,1937439.9,1870789.3,1856504.6,1840974.2,1817155.6,1864880.8,1792234.1,1846688.6,1779546.3,1748558.1,1726152.8,1687233.4,1678111.3,1612479.3,1589994.2,1554561.4,1524667.9,1504075.9,1503888.9,1476893.3,1490737.6,1528617.8,1416976.2,1409657.8,1363557,1359018.1,1332826.3,1308273.6,1264936.7,1269995.3,1304543.3,1324864.6,1359984.9,1430293.3,1377357.2,1427394.3,1329810.6,1245657.1,1175038.7,1109120.4,1065423.1,1058533.9,1045928.1,991356.2,1021682.9,998052.9,978116.4,958062.2,942763.7,924066.1,921129.1,913613.7,858357,856265.3,854184
        Loans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Debt Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Currency And Deposits,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
        Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Long-Term,8428,8503.6,8617.3,1471.5,1464.1,1421.3,1432.2,1429.9,1448.7,1387.1,1402.3,1400.3,1398.8,1410.5,1420.1,1429.1,1417.5,1417.3,1428.7,1425.4,1412.6,1445.8,1419.7,1398.5,1412.2,1462.2,1490.3,1409.4,1408.3,1428.8,1407.1,1434.2,1446.6,1446.8,1432.6,1419.6,1382.7,1399.4,1406.4,1438.5,1449.4,1486.1,1511.2,1464.1,1488.7,1478,1525.8,1542.3,1585,1674.1,1674.1,36.5,37.4,37.3,36.5,36.5,37.4,37.4,38.3,38.2,37.7,38.2,38.7,38.7,38.4,39.4,40.4,40.4,41.1,41.4,40.8,40.8,41,41.5,40.7,40.5
        Special Drawing Rights (Allocations),8428,8503.6,8617.3,1471.5,1464.1,1421.3,1432.2,1429.9,1448.7,1387.1,1402.3,1400.3,1398.8,1410.5,1420.1,1429.1,1417.5,1417.3,1428.7,1425.4,1412.6,1445.8,1419.7,1398.5,1412.2,1462.2,1490.3,1409.4,1408.3,1428.8,1407.1,1434.2,1446.6,1446.8,1432.6,1419.6,1382.7,1399.4,1406.4,1438.5,1449.4,1486.1,1511.2,1464.1,1488.7,1478,1525.8,1542.3,1585,1674.1,1674.1,36.5,37.4,37.3,36.5,36.5,37.4,37.4,38.3,38.2,37.7,38.2,38.7,38.7,38.4,39.4,40.4,40.4,41.1,41.4,40.8,40.8,41,41.5,40.7,40.5
        Loans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Debt Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Deposit-Taking Corporations,1535751.4,1551027.9,1491005.7,1463145.2,1464633.5,1464866.2,1451500.3,1506011.3,1621894.1,1390415.3,1410942,1386654.6,1360733.9,1362556.5,1340130.8,1390555.6,1341981.1,1293421.6,1255873.8,1223758.6,1245603.8,1253362.2,1215222.3,1224238.1,1224090.2,1239125.3,1305330.9,1230880.1,1280969.3,1242602.5,1210645.3,1207565.3,1191551.4,1188696.9,1130223.5,1119084.8,1094939.7,1070379.4,1055193,1061189.1,1034160.9,1061772.8,1105930.7,1007587.9,1014759,992097.1,996872.3,993690.4,981428.3,950935.7,967092.8,1008035.3,1027998.5,1060550,1138572.2,1081263.9,1132634.9,1065923.3,994047.6,937346,887722.1,854574.1,850897.6,841510.7,792162.1,828620,799901.1,768470.5,750336.1,768190.7,752712.4,752799.8,751061.7,698806.3,697915.7,702572.2
