Data Series,IPI_all_items_base_2018
2000-04,109.33
2000-05,109.993
2000-06,110.923
2000-07,110.964
2000-08,110.151
2000-09,111.863
2000-10,112.42
2000-11,111.256
2000-12,109.123
2001-01,108.917
2001-02,109.141
2001-03,109.547
2001-04,110.701
2001-05,111.352
2001-06,110.772
2001-07,109.94
2001-08,108.607
2001-09,108.303
2001-10,107.997
2001-11,107.396
2001-12,106.559
2002-01,105.873
2002-02,106.038
2002-03,107.014
2002-04,107.713
2002-05,107.791
2002-06,106.666
2002-07,106.382
2002-08,106.486
2002-09,106.949
2002-10,107.501
2002-11,106.203
2002-12,106.509
2003-01,106.896
2003-02,108.658
2003-03,109.307
2003-04,107.686
2003-05,106.48
2003-06,106.349
2003-07,106.485
2003-08,107.075
2003-09,106.029
2003-10,106.447
2003-11,106.634
2003-12,106.714
2004-01,107.166
2004-02,106.525
2004-03,107.255
2004-04,107.334
2004-05,109.276
2004-06,109.383
2004-07,109.714
2004-08,110.94
2004-09,109.733
2004-10,111.006
2004-11,109.575
2004-12,108.42
2005-01,108.673
2005-02,109.009
2005-03,111.71
2005-04,113.299
2005-05,112.762
2005-06,115.004
2005-07,116.233
2005-08,116.867
2005-09,118.635
2005-10,118.296
2005-11,116.807
2005-12,116.422
2006-01,118.284
2006-02,117.987
2006-03,117.851
2006-04,119.034
2006-05,118.854
2006-06,119.954
2006-07,120.133
2006-08,119.975
2006-09,117.46
2006-10,115.428
2006-11,113.986
2006-12,114.071
2007-01,111.919
2007-02,112.73
2007-03,113.718
2007-04,114.285
2007-05,115.043
2007-06,115.893
2007-07,115.974
2007-08,116.228
2007-09,117.241
2007-10,116.62
2007-11,118.351
2007-12,118.62
2008-01,117.941
2008-02,117.745
2008-03,118.558
2008-04,119.011
2008-05,122.255
2008-06,125.51
2008-07,127.315
2008-08,125.695
2008-09,122.615
2008-10,116.36
2008-11,109.773
2008-12,105.926
2009-01,106.756
2009-02,107.49
2009-03,108.237
2009-04,108.002
2009-05,108.046
2009-06,110.901
2009-07,110.111
2009-08,111.894
2009-09,110.116
2009-10,110.207
2009-11,111.336
2009-12,110.658
2010-01,111.279
2010-02,110.993
2010-03,111.046
2010-04,111.767
2010-05,110.37
2010-06,110.147
2010-07,109.515
2010-08,109.229
2010-09,108.544
2010-10,109.074
2010-11,109.804
2010-12,111.64
2011-01,113.03
2011-02,115.507
2011-03,116.868
2011-04,117.22
2011-05,115.186
2011-06,114.715
2011-07,114.173
2011-08,112.928
2011-09,114.982
2011-10,116.9
2011-11,118.027
2011-12,117.488
2012-01,119.541
2012-02,119.143
2012-03,120.297
2012-04,118.881
2012-05,115.844
2012-06,112.614
2012-07,112.69
2012-08,114.562
2012-09,114.784
2012-10,112.785
2012-11,111.059
2012-12,110.737
2013-01,112.396
2013-02,114.047
2013-03,112.747
2013-04,110.474
2013-05,110.366
2013-06,111.555
2013-07,111.967
2013-08,112.857
2013-09,112.529
2013-10,111.262
2013-11,111.437
2013-12,112.705
2014-01,112.697
2014-02,112.833
2014-03,112.215
2014-04,111.274
2014-05,111.202
2014-06,111.304
2014-07,110.605
2014-08,109.509
2014-09,108.615
2014-10,105.297
2014-11,102.88
2014-12,97.911
2015-01,93.106
2015-02,97.436
2015-03,97.412
2015-04,97.377
2015-05,98.894
2015-06,98.359
2015-07,95.666
2015-08,93.905
2015-09,93.877
2015-10,93.516
2015-11,92.387
2015-12,89.368
2016-01,87.656
2016-02,86.726
2016-03,87.45
2016-04,87.48
2016-05,89.907
2016-06,90.339
2016-07,89.151
2016-08,89.053
2016-09,90.001
2016-10,92.497
2016-11,93.243
2016-12,97.249
2017-01,97.604
2017-02,97.019
2017-03,94.965
2017-04,95.825
2017-05,94.921
2017-06,93.205
2017-07,92.853
2017-08,93.49
2017-09,94.449
2017-10,95.638
2017-11,97.063
2017-12,96.857
2018-01,95.877
2018-02,95.133
2018-03,95.075
2018-04,96.481
2018-05,99.972
2018-06,100.708
2018-07,102.221
2018-08,102.99
2018-09,104.267
2018-10,105.608
2018-11,102.606
2018-12,99.062
2019-01,97.704
2019-02,98.759
2019-03,99.979
2019-04,100.781
2019-05,101.016
2019-06,99.208
2019-07,99.637
2019-08,98.975
2019-09,99.123
2019-10,98.442
2019-11,97.36
2019-12,96.613
