Data Series,EPI_all_items_base_2018
2003-10,115.533
2003-11,116.097
2003-12,116.24
2004-01,117.023
2004-02,116.733
2004-03,116.807
2004-04,116.327
2004-05,118.79
2004-06,118.28
2004-07,118.481
2004-08,120.047
2004-09,118.958
2004-10,119.728
2004-11,117.186
2004-12,114.962
2005-01,114.1
2005-02,115.179
2005-03,117.897
2005-04,120.219
2005-05,118.191
2005-06,120.11
2005-07,121.557
2005-08,122.154
2005-09,124.785
2005-10,124.726
2005-11,122.182
2005-12,121.452
2006-01,125.624
2006-02,125.964
2006-03,123.689
2006-04,124.285
2006-05,123.407
2006-06,124.157
2006-07,124.192
2006-08,123.4
2006-09,122.383
2006-10,119.972
2006-11,118.035
2006-12,117.514
2007-01,116.64
2007-02,117.073
2007-03,117.238
2007-04,117.941
2007-05,117.886
2007-06,118.877
2007-07,118.699
2007-08,118.14
2007-09,118.816
2007-10,117.672
2007-11,119.806
2007-12,119.886
2008-01,118.6
2008-02,117.907
2008-03,119.492
2008-04,120.05
2008-05,123.259
2008-06,125.617
2008-07,127.07
2008-08,124.231
2008-09,122.675
2008-10,116.844
2008-11,112.164
2008-12,108.938
2009-01,107.851
2009-02,108.322
2009-03,108.174
2009-04,108.615
2009-05,107.609
2009-06,110.387
2009-07,110.001
2009-08,111.82
2009-09,110.711
2009-10,110.371
2009-11,110.825
2009-12,110.851
2010-01,111.661
2010-02,112.503
2010-03,112.616
2010-04,112.939
2010-05,112.41
2010-06,111.883
2010-07,110.614
2010-08,110.232
2010-09,109.124
2010-10,108.696
2010-11,109.787
2010-12,110.899
2011-01,111.96
2011-02,113.635
2011-03,115.333
2011-04,116.138
2011-05,113.871
2011-06,113.237
2011-07,112.085
2011-08,110.567
2011-09,112.723
2011-10,114.589
2011-11,115.39
2011-12,115.13
2012-01,116.675
2012-02,115.423
2012-03,116.293
2012-04,116.162
2012-05,114.019
2012-06,111.414
2012-07,110.668
2012-08,111.88
2012-09,111.359
2012-10,109.676
2012-11,108.52
2012-12,108.015
2013-01,108.931
2013-02,110.82
2013-03,110.073
2013-04,108.234
2013-05,108.055
2013-06,109.81
2013-07,110.578
2013-08,110.566
2013-09,110.186
2013-10,108.581
2013-11,108.328
2013-12,109.147
2014-01,109.31
2014-02,109.244
2014-03,108.974
2014-04,108.142
2014-05,107.681
2014-06,107.905
2014-07,107.044
2014-08,106.78
2014-09,106.818
2014-10,105.036
2014-11,104.804
2014-12,101.248
2015-01,98.359
2015-02,101.095
2015-03,101.459
2015-04,100.215
2015-05,100.708
2015-06,101.03
2015-07,100.064
2015-08,99.9
2015-09,99.264
2015-10,98.409
2015-11,97.857
2015-12,95.91
2016-01,94.393
2016-02,92.952
2016-03,92.713
2016-04,91.869
2016-05,94.246
2016-06,93.612
2016-07,92.548
2016-08,92.086
2016-09,93.4
2016-10,95.764
2016-11,96.696
2016-12,99.807
2017-01,99.954
2017-02,98.971
2017-03,97.374
2017-04,97.178
2017-05,96.76
2017-06,94.95
2017-07,94.926
2017-08,95.01
2017-09,95.672
2017-10,96.841
2017-11,97.464
2017-12,97.375
2018-01,96.935
2018-02,96.54
2018-03,96.327
2018-04,97.285
2018-05,100.076
2018-06,100.83
2018-07,101.857
2018-08,102.1
2018-09,103.547
2018-10,104.561
2018-11,101.81
2018-12,98.132
2019-01,97.699
2019-02,98.906
2019-03,99.246
2019-04,100.021
2019-05,99.974
2019-06,98.13
2019-07,99.298
2019-08,99.775
2019-09,99.97
2019-10,97.888
2019-11,96.057
2019-12,96.195
2020-01,96.11
2020-02,96.186
2020-03,93.011
2020-04,89.686
2020-05,89.885
2020-06,90.908
2020-07,92.095
2020-08,91.566
2020-09,90.591
2020-10,90.118
2020-11,89.746
2020-12,90.472
2021-01,91.746
2021-02,94.399
2021-03,96.314
2021-04,98.271
2021-05,98.629
2021-06,102.169
2021-07,104.014
2021-08,104.542
2021-09,106.339
2021-10,108.842
2021-11,110.035
2021-12,109.685
2022-01,111.205
2022-02,112.597
2022-03,120.082
2022-04,124.138
2022-05,125.821
2022-06,127.027
2022-07,124.209
